,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
199,-1,1,2,2,1,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,1,0,0,0,-1
200,-1,2,2,2,1,0,2,1,2,0,0,1,1,-1,1,1,1,0,1,1,1,0,0,1,2,0,1,5,-1
201,-2,2,1,-2,2,-1,-2,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,-1,0,1,0,0,0
202,1,2,2,2,1,-1,2,1,1,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-2,2,0,1,4,-1
203,-2,2,2,2,-1,1,2,-1,0,0,0,1,-1,-1,1,1,1,1,-1,1,-1,0,0,-1,1,1,0,4,0
204,2,2,1,2,1,1,-1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,1,2,1,0,1,0.5,-1
205,2,2,2,1,2,1,1,-1,0,0,0,1,1,1,-1,1,1,1,1,1,1,0,0,0,1,1,0,0,-1
206,1,2,2,1,-1,-1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,4,-1
207,2,2,-2,-2,1,1,2,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,0,1,4,-1
208,1,1,2,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,0,-1,1,-1,2,0,0,1,0,0
209,-2,2,2,2,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,0,4,1
210,2,-2,2,2,2,-1,1,1,2,0,0,1,1,1,-1,1,1,-1,-1,1,-1,0,0,0,-2,0,-1,0.5,-1
211,-2,1,2,2,1,1,2,1,1,1,0,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,3,-1
212,1,2,2,-1,2,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,1,-2,0,1,2,-1
213,1,1,1,2,-1,1,2,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,0,1,2,-1
214,1,2,2,-2,-1,1,1,1,1,1,0,1,1,-1,0,1,1,1,-1,1,1,0,0,1,1,0,0,0.5,-1
215,2,2,1,2,2,1,2,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,1,1,2,0
216,1,-1,2,2,-1,-1,2,1,1,1,-1,1,1,-1,1,1,1,0,0,1,1,0,0,-1,-1,0,-1,0.5,-1
217,1,2,1,2,0,1,2,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,-1,0,4,-1
218,2,1,1,1,2,1,1,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,0,1,1,-1
219,-2,-2,2,1,1,1,2,-1,0,0,-1,1,1,-1,1,1,1,-1,-1,1,-1,0,0,-2,-2,-1,0,5,0
220,2,-2,2,2,2,1,1,1,2,0,-1,1,1,1,1,1,1,1,1,1,-1,0,0,2,1,0,0,0.5,0
221,1,1,2,1,1,1,2,1,2,0,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,0,-2,1,0,0,0,-1
222,1,2,2,-1,1,1,2,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,2,-1,0,0.5,-1
223,-1,2,1,1,2,1,1,1,2,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,2,0,1,2,-1
224,1,1,2,2,-1,1,1,1,2,0,-1,1,-1,-1,1,1,1,1,1,1,-1,0,0,1,1,0,-1,0.5,-1
225,2,2,-2,-1,2,1,2,-1,0,0,-1,1,1,1,-1,1,1,1,-1,1,1,0,0,1,1,1,0,3,0
226,-1,2,1,1,-2,-1,1,1,1,1,1,-1,-1,-1,-1,0,1,0,-1,1,-1,0,0,1,1,0,0,5,-1
227,1,1,2,2,2,-1,2,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,2,1,0,1,2,-1
228,2,-2,1,2,-2,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,0,-2,1,0,-1,0.5,0
229,2,2,2,-2,2,1,2,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,0,0,0,1,2,1,0,5,0
230,1,2,2,2,2,1,-2,1,2,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,0,-1,0.5,-1
231,2,2,2,2,2,0,2,1,2,0,0,-1,-1,0,1,1,1,-1,-1,1,1,0,0,-1,-1,0,1,0.5,-1
232,1,0,2,2,-1,1,2,-1,0,0,-1,1,0,-1,-1,1,1,-1,1,1,-1,0,0,-2,1,0,0,1,-1
233,-2,1,2,1,-2,-1,2,1,2,0,0,-1,-1,-1,1,1,1,1,-1,1,-1,0,0,-2,1,0,1,2,-1
234,1,1,-1,2,2,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,2,1,0,1,2,-1
235,2,2,1,1,2,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,0
236,-2,-2,2,-1,-2,-1,1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,-1,-2,-2,0,1,0.5,-1
237,-2,1,2,1,-1,-1,-1,-1,0,0,0,1,1,1,-1,1,1,-1,1,1,1,0,0,-1,1,1,0,1,-1
238,-1,1,2,2,2,1,2,1,2,0,1,1,1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,1,-1,-1,0.5,0
239,1,1,2,2,2,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,1,0,-1
240,-2,2,2,2,-2,1,2,-1,0,0,1,1,-1,-1,1,1,1,0,-1,1,-1,0,0,-1,1,-1,-1,0.5,0
241,2,-1,2,2,-2,-1,2,1,2,0,-1,1,-1,-1,1,1,1,1,-1,-1,-1,0,0,-2,1,0,-1,0.5,-1
242,2,2,2,2,-1,-1,1,1,2,0,0,1,1,0,-1,1,1,1,1,1,1,0,0,2,-2,-1,-1,2,0
243,-2,-1,2,2,-2,0,2,1,2,0,0,-1,-1,-1,-2,-2,-2,-1,-2,-1,-1,0,0,1,-1,0,1,1,0
244,2,2,1,2,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,0,1,0,4,-1
245,1,2,2,1,2,1,2,1,2,0,0,1,1,-1,1,1,1,1,0,1,1,0,0,1,1,0,1,0.5,-1
246,2,1,2,-1,-1,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0,2,-1
247,2,1,2,2,2,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-2,-1,0,1,2,-1
248,1,2,2,2,-1,0,2,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,0,0,-1,1,0,-1,0.5,0
249,2,1,2,1,2,1,1,-1,0,0,1,-1,1,-1,1,1,1,1,-1,1,-1,0,0,-2,-2,-1,0,0,0
250,2,-2,2,1,2,1,2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,5,-1
251,2,1,-1,1,2,1,2,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,0,1,3,-1
252,1,2,1,-2,-2,1,-1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,0,0,-2,-2,0,1,2,1
253,2,-1,2,2,1,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,-1,0,0,0
254,1,2,2,2,1,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-2,2,-1,0,5,1
255,-1,-1,2,2,-1,-1,2,-1,0,0,1,1,1,-1,1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,1,1,-1
256,1,2,2,2,1,1,2,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,0,1,-1,0,1,1,1
257,2,2,-1,2,1,-1,1,1,2,0,0,1,1,-1,0,1,1,1,1,1,-1,0,0,2,2,0,0,0,0
258,-1,-1,2,2,-1,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,-2,2,0,1,1,0
259,1,1,2,2,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,0,1,0,1,1,1,-1,-1,-1,1,-1
260,-2,-1,2,1,-2,0,2,-1,0,0,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,0,0,-1,-1,0,1,1,-1
261,2,2,1,-1,2,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,-1,1,5,1
262,2,2,-2,-2,2,1,1,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,1,0,-1
263,-2,-2,2,1,2,-1,-2,1,2,0,0,1,1,1,1,1,1,0,1,1,1,0,0,-2,-2,0,1,5,-1
264,1,2,2,1,1,1,-2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2,-1,-1,0,0
265,1,1,2,1,1,1,-1,1,2,0,0,1,1,1,-1,1,1,0,1,1,1,0,0,1,1,0,-1,0.5,-1
266,1,1,2,1,-1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,-2,1,0,1,2,1
267,2,1,1,2,1,1,2,-1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,0,0,2,2,1,0,2,-1
268,1,1,2,2,1,1,1,1,2,0,0,1,1,-1,1,1,1,1,-1,1,1,0,0,-1,1,-1,-1,0.5,0
269,2,-2,2,2,1,-1,-2,1,2,0,-1,-1,1,-1,1,1,1,1,-1,1,-1,0,0,-2,-2,0,-1,0.5,-1
270,-1,2,2,2,-1,1,2,-1,0,0,1,1,-1,-1,1,1,1,1,1,1,1,0,0,1,-1,0,1,2,0
271,-1,2,2,2,1,1,2,1,1,1,0,1,1,1,1,-1,1,-1,-1,1,-1,1,1,2,2,0,-1,2,-1
272,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0
273,1,2,2,2,1,1,-2,-1,0,0,-1,1,1,-1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,2,0
274,1,1,2,2,-1,-1,2,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,0,0,3,-1
275,1,1,2,2,-1,-1,2,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-2,1,0,-1,0.5,0
276,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,1,-1,-1,-1,1,1,-1,1,1,-1,0,0,1,-1,1,0,3,0
277,-1,1,2,2,2,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,-1,0,1,5,0
278,1,2,2,-1,-2,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,-1,1,2,0
279,2,2,1,2,0,1,1,1,2,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,2,1,0,1,2,-1
280,1,-1,2,2,2,1,2,-1,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,1,0,3,0
281,2,1,2,1,1,1,1,1,2,0,-1,-1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,-1,0.5,-1
282,1,1,2,-1,1,1,1,-1,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,2,-1,-1,0,0,0
283,1,-2,-2,1,1,-1,2,-1,0,0,0,1,-1,-1,1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,0
284,2,2,1,1,1,1,1,1,1,1,0,0,0,-1,-1,1,1,1,1,1,-1,1,-1,1,-2,0,1,0.5,-1
285,2,2,2,2,-1,-1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,-1,0,0,1,2,-1,-1,1,0
286,-2,-2,2,2,-2,1,2,-1,0,0,1,1,-1,-1,1,-1,1,1,1,-1,-1,0,0,-2,1,0,-1,0.5,0
287,2,1,2,2,2,1,2,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-2,2,0,1,5,-1
288,1,1,1,1,1,1,-1,1,1,-1,0,1,1,-1,-1,1,1,1,1,1,1,0,0,1,-1,0,1,4,-1
289,-2,2,-2,1,2,-1,2,-1,0,0,-1,1,1,-1,-1,1,1,-1,1,1,1,0,0,-2,1,1,0,4,0
290,2,-2,-2,2,2,1,-2,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,2,2,-1,1,3,-1
291,-1,2,2,2,-1,-1,2,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,0,0,-1,0,-1,-1,2,1
292,2,1,2,2,2,1,2,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,0,3,1
293,2,2,1,1,1,-1,2,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,0,1,2,-1
294,2,-1,2,-1,-1,1,-2,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,1,0,0.5,0
295,2,2,2,2,2,1,2,-1,0,0,1,1,-1,-1,1,1,1,1,1,1,-1,0,0,2,1,1,0,2,-1
296,1,2,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,0,-1,0,0,0
297,2,-1,2,2,2,1,2,-1,0,0,-1,-1,-1,1,1,1,1,1,1,1,-1,0,0,1,2,0,-1,0,-1
298,2,2,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,0,0,2,2,0,1,3,-1
299,2,1,2,2,2,0,0,1,1,1,-1,1,1,1,1,1,1,1,0,1,-1,0,0,1,1,0,1,2,-1
300,2,1,2,2,2,1,1,-1,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,2,1,-1,0,4,1
301,-2,-2,-1,-1,2,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-2,1,1,0,0.5,0
302,-2,2,2,2,-2,1,-2,-1,0,0,-1,1,1,1,0,1,1,1,1,1,1,0,0,-2,2,1,0,2,-1
303,1,2,1,1,1,1,1,-1,0,0,0,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,-1,0,2,0
304,-2,2,2,2,-2,0,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1,0.5,-1
305,-1,-1,1,2,-1,1,2,-1,0,0,-1,1,1,-1,1,1,1,-1,1,1,1,0,0,2,2,0,1,4,0
306,-2,1,2,2,-2,-1,1,-1,0,0,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,-1,2,0,-1,0.5,-1
307,2,-2,2,2,0,1,2,1,2,0,1,-1,1,-1,1,1,1,1,1,1,-1,0,0,-2,-1,0,1,1,0
308,-2,-1,1,2,1,1,-1,1,2,0,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,1,-2,0,-1,0.5,-1
309,2,-1,2,2,2,1,2,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,1,0,4,0
310,2,1,2,1,1,1,2,-1,0,0,-1,1,-1,-1,1,1,1,1,1,1,1,0,0,1,1,0,1,3,1
311,1,1,2,1,2,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,-1,0,1,2,-1
312,2,2,2,2,1,1,2,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,-1
313,2,2,1,2,1,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,1,0,1,1
314,2,1,2,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,5,-1
315,2,2,2,2,2,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0.5,0
316,-1,2,2,2,-2,0,2,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,0,0,-1,2,0,1,0.5,-1
317,1,1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,0,1,1,-1
318,1,2,1,2,1,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,1,2,-1
319,-1,-1,2,2,2,-1,2,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-2,-1,0,-1,0.5,-1
320,2,2,0,2,2,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,-1,-1,0.5,0
321,-1,1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,0,0,1,1,0,1,2,0
322,-2,2,2,2,0,1,-1,1,2,0,0,1,1,-1,1,1,1,0,-1,-1,1,0,0,1,2,0,-1,0.5,0
323,-1,1,1,2,1,-1,2,1,2,0,-1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,-1,0.5,-1
324,-1,2,-1,2,2,1,1,1,2,0,0,1,-1,0,1,1,1,0,1,1,0,0,0,2,2,-1,1,3,1
325,0,2,0,2,2,1,2,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,0,0,1,1,1,0,0,-1
326,2,-1,2,2,2,1,2,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-2,2,0,1,4,-1
327,2,2,2,2,2,1,2,1,2,0,-1,1,1,-1,-1,1,-1,1,-1,1,1,0,0,2,-2,0,-1,0.5,-1
328,2,1,2,1,1,-1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,2,-1
329,2,2,2,2,-2,-1,2,1,1,1,1,0,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,1,0.5,-1
330,1,1,1,2,-2,0,2,1,2,0,0,1,1,0,1,1,1,1,0,1,-1,0,0,-1,2,0,1,0.5,-1
331,1,2,2,2,1,1,-1,1,2,0,0,1,1,1,1,1,1,1,1,-1,1,0,0,1,1,0,1,3,-1
332,2,2,2,2,2,-1,0,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,1,0,1,2,-1
333,1,-1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,2,0,1,2,-1
334,2,2,2,2,2,1,2,-1,0,0,1,1,1,0,1,1,1,0,0,1,-1,0,0,0,-2,-1,-1,0.5,0
335,2,2,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,2,-1,0,2,0
336,1,1,2,2,1,-1,2,-1,0,0,1,1,-1,0,1,1,1,1,0,-1,-1,0,0,1,1,-1,0,0,0
337,1,2,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,3,0
338,-1,-1,2,2,-1,-1,2,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,0.5,-1
339,2,2,2,-1,-1,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,-1,3,-1
340,1,2,-2,-1,-1,1,-1,1,1,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,0,1,1,-1
341,1,2,2,2,1,1,2,1,2,0,0,1,1,1,1,1,1,1,1,1,-1,0,0,-2,-2,-1,1,3,0
342,-1,1,2,1,1,1,2,1,1,-1,0,1,1,0,0,1,1,1,1,1,1,0,0,-1,-1,0,1,1,-1
343,1,-1,1,1,2,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,0,-1,1,0,1,2,0
344,2,1,2,-1,-1,1,-1,-1,0,0,0,1,1,0,-1,1,1,1,-1,1,1,0,0,1,2,0,0,0,0
345,-1,1,2,2,-1,1,2,1,2,0,-1,1,1,1,1,1,1,1,-1,1,-1,0,0,-2,2,0,1,3,-1
346,-1,-1,2,1,-1,-1,2,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,0,-2,1,0,-1,0.5,-1
347,-1,-1,1,1,1,1,2,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,0,0,4,0
348,0,1,-1,1,1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,0.5,-1
349,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0,-1,2,1,0,2,0
350,1,2,2,2,2,1,2,1,2,0,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,-2,2,-1,-1,2,0
351,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,0,-1,1,1,1,0,1,1,1,-1,1,-1,0,1,0.5,-1
352,2,-1,1,2,1,1,2,1,2,0,1,1,-1,-1,1,1,1,1,1,-1,1,0,0,1,-1,0,1,0.5,-1
353,2,2,1,1,1,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,1,0,-1
354,2,1,2,2,2,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,0,-1,0.5,-1
355,2,2,1,1,1,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,0,1,0
356,1,1,-1,2,-1,1,1,1,2,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,1,2,1,-1,3,-1
357,1,2,2,2,2,1,-1,1,2,0,0,1,-1,-1,1,1,1,1,1,1,-1,0,0,-1,-2,0,0,0,0
358,1,1,2,2,-2,-1,2,1,1,-1,0,1,1,-1,1,1,1,1,-1,1,-1,0,0,2,0,0,-1,0.5,0
359,2,-2,2,2,2,1,-1,-1,0,0,-1,1,1,1,-1,1,1,-1,-1,1,-1,0,0,-1,1,-1,0,0,0
360,-1,2,2,2,0,1,-2,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,2,-2,-1,1,2,0
361,1,1,2,2,0,1,2,-1,0,0,-1,1,1,-1,-1,1,1,0,0,0,-1,0,0,-2,1,-1,1,1,0
362,-1,-1,1,1,-2,1,1,-1,0,0,0,1,0,-1,-1,1,1,1,1,1,1,0,0,1,1,-1,0,0.5,0
363,2,2,2,1,-2,-1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,2,-2,0,-1,0.5,0
364,1,-1,2,1,-1,1,1,1,2,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,1,0,-1,0.5,-1
365,1,1,2,-1,-2,-1,-1,1,2,0,0,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,0,1,5,-1
366,-2,-1,2,2,-2,0,2,1,1,1,0,0,0,0,1,-1,1,-1,-1,-1,-1,1,-1,-2,1,0,-1,0.5,0
367,1,1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.5,-1
368,1,1,2,2,1,1,2,1,2,0,1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,1,0,1,1,-1
369,2,2,2,2,2,-1,2,1,2,0,0,1,1,-1,1,1,1,1,1,-1,1,0,0,2,1,-1,-1,1,0
370,-1,1,2,1,1,0,1,-1,0,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,-1
371,-1,-1,2,2,-1,-1,2,1,2,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,-2,1,0,-1,1,-1
372,2,2,1,1,-1,1,1,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,2,0
373,-2,2,1,1,2,1,2,1,2,0,-1,1,1,1,0,1,1,1,1,1,-1,0,0,1,-1,0,1,1,-1
374,-2,2,2,2,2,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-2,1,0,1,2,-1
375,2,2,-2,-1,2,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,1,0.5,1
376,-2,-1,2,2,-2,1,2,1,1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,0
377,1,1,2,-1,1,1,1,-1,0,0,-1,1,-1,-1,1,1,1,1,1,1,1,0,0,2,2,1,0,0.5,1
378,-1,-1,2,2,-1,-1,2,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,0,-1,0.5,0
379,2,2,2,1,2,1,2,-1,0,0,1,1,1,-1,-1,1,1,1,1,1,1,0,0,2,2,0,0,5,-1
380,1,1,2,2,1,1,1,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,-1,1,0.5,0
381,1,-1,2,2,-1,-1,2,1,2,0,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,0,0,2,2,0,-1,0.5,-1
382,2,2,2,-2,1,1,2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,3,-1
383,-1,2,1,2,1,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,1,0,-1,1,-1
384,-1,2,2,2,-1,1,2,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,1,2,-1
385,-1,2,-1,-1,2,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,3,0
386,1,-1,2,2,2,-1,2,1,2,0,-1,1,1,-1,1,1,1,-1,-1,1,-1,0,0,1,2,0,1,2,-1
387,1,2,2,2,1,-1,2,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,0,0,1,2,0,-1,0.5,0
388,1,1,2,2,1,1,2,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-2,-2,0,-1,0.5,-1
389,-1,0,2,2,-1,-1,2,1,2,0,1,1,0,-1,1,1,1,-1,-1,1,-1,0,0,-2,-2,0,0,0,0
390,2,1,-1,-1,1,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,0,4,0
391,2,2,2,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,-1,-1,-1,2,-1
392,1,1,2,2,2,1,-2,1,1,1,0,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,0,1,2,-1
393,2,1,2,1,2,1,2,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,1
394,2,2,1,2,2,1,2,-1,0,0,-1,1,-1,-1,1,-1,1,1,1,1,1,0,0,-2,2,1,0,2,0
395,2,-1,1,1,1,1,-1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0,0.5,0
396,1,1,1,2,-1,1,1,1,2,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,1,0,-1,1,-1
397,2,1,2,-1,0,1,-2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,2,2,0,0,0.5,-1
398,-2,-2,-2,2,2,0,2,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-2,-1,0,1,2,0
399,2,-2,2,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,-1,0,0,2,-1,0,1,5,-1
400,-2,1,2,2,1,1,2,1,2,0,0,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,1,1,5,-1
401,2,2,2,1,-1,-1,2,1,2,0,1,1,-1,-1,1,1,1,1,1,-1,-1,0,0,2,-1,-1,0,0.5,-1
402,1,-1,1,1,-1,-1,0,1,2,0,0,1,1,-1,1,1,1,0,0,1,-1,0,0,0,2,0,1,4,0
403,1,2,2,2,-1,1,-1,1,1,1,0,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,2,0,1,3,-1
404,1,2,2,2,1,1,2,1,2,0,-1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,1,-1,1,2,-1
