,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
46,-2,-1,2,2,1,-1,2,1,2,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,0,1,5,-1
47,-2,-2,-1,-2,-1,1,-2,1,1,1,0,1,-1,-1,-1,1,1,1,1,1,1,0,0,1,2,0,1,2,1
48,2,2,0,1,2,1,0,-1,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,2,1,0,1,2,-1
49,1,2,1,1,1,-1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,-1,-1,1,5,0
50,2,2,2,1,1,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,-1,0,-1,0.5,0
51,2,2,2,-2,2,1,2,-1,0,0,0,1,1,-1,-1,1,1,1,1,1,1,0,0,2,2,1,0,5,0
52,2,-1,1,1,-2,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,1,2,-1
53,-2,1,2,-1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-2,2,0,1,3,-1
54,0,1,-1,1,2,1,2,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,1,0,3,-1
55,2,-2,1,1,-1,1,-1,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-2,-1,0,1,0.5,1
56,-2,-1,2,2,-2,-1,2,1,1,1,1,0,0,0,-1,1,1,-1,-1,-1,-1,1,-1,1,2,0,1,0,0
57,-1,2,1,1,2,1,-1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,-1,0,3,0
58,2,2,2,2,1,1,1,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,0,1,5,-1
59,1,2,2,2,1,1,2,-1,0,0,-1,1,1,-1,1,1,1,-1,1,1,1,0,0,1,-1,1,1,4,-1
60,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0
61,2,-1,-2,-2,2,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,0,0,2,1
62,2,0,2,2,2,1,2,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,2,1
63,2,2,-2,-1,-1,1,2,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,0,1,2,1,0,5,0
64,-1,1,2,1,2,1,1,-1,0,0,1,1,-1,-1,1,1,1,1,1,1,1,0,0,2,2,1,0,2,0
65,-2,2,2,2,-2,1,0,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,0,0,0,1,0,-1,0.5,0
66,0,2,2,2,0,1,1,1,2,0,0,1,1,-1,1,1,1,1,0,1,-1,0,0,-1,1,0,1,4,-1
67,1,2,2,2,2,1,2,-1,0,0,1,0,-1,-1,1,1,1,1,-1,1,-1,0,0,1,1,-1,0,0,0
68,1,2,2,2,2,-1,2,1,2,0,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,0,-1,1,0,-1,0.5,-1
69,1,-1,2,1,-1,1,2,1,1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,0,0,1,1,0,1,1,-1
70,2,2,2,2,2,1,2,1,2,0,1,1,1,-1,1,1,1,1,1,1,1,0,0,-2,2,-1,1,2,0
71,1,1,1,-1,-1,1,2,-1,0,0,0,1,1,1,-1,1,1,1,1,1,1,0,0,2,2,1,0,2,0
72,2,1,2,2,2,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,-1,-1,1,2,-1
73,-1,-2,2,2,2,1,2,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,0,-1,0.5,-1
74,2,2,2,2,-1,1,2,1,2,0,1,0,-1,-1,1,1,1,1,1,-1,-1,0,0,-2,1,0,-1,2,-1
75,-1,2,2,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1,1,1,1,1,1,0,0,-1,-2,1,0,2,1
76,2,1,2,2,1,0,2,1,2,0,1,1,-1,-1,1,1,1,-1,1,1,-1,0,0,1,2,0,0,0,0
77,1,2,2,1,2,1,2,-1,0,0,-1,1,1,1,-1,1,1,-1,1,1,1,0,0,-1,2,0,1,2,0
78,-2,2,2,2,-2,1,2,1,2,0,1,1,-1,-1,1,-1,1,-1,-1,1,-1,0,0,2,-2,0,-1,0.5,-1
79,2,2,2,2,2,1,2,1,1,-1,1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,1,2,0,1,2,-1
80,-1,2,-1,-1,2,-1,1,-1,0,0,0,1,1,1,1,1,1,-1,1,1,1,0,0,2,1,1,0,3,0
81,1,2,2,1,2,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,-2,1,0,2,-1
82,-1,2,1,1,-1,1,1,-1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,0,0,-1,2,0,1,5,0
83,-1,2,2,2,-1,-1,-2,1,2,0,-1,1,1,-1,-1,1,1,-1,-1,1,-1,0,0,-2,-2,0,1,5,-1
84,2,1,1,2,2,1,2,1,1,1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-2,0,-1,0.5,-1
85,-1,-2,2,2,1,1,-1,1,2,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,-1,1,0,1,4,-1
86,-1,1,1,1,1,1,-1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,1,0,3,0
87,1,1,2,1,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,2,2,0,1,3,1
88,1,1,1,2,1,1,2,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,0,0,2,-2,0,1,2,-1
89,2,1,2,-1,2,1,2,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,0,0,2,1,0,1,5,-1
90,0,2,2,2,0,1,2,-1,0,0,0,1,-1,-1,-1,1,1,0,0,1,-1,0,0,1,2,0,-1,0.5,-1
91,-2,-1,-1,-1,-1,1,2,1,1,-1,0,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,0,-1,0.5,-1
92,2,-1,2,2,1,1,2,1,2,0,1,1,-1,-1,1,1,1,1,1,1,1,0,0,-1,1,1,1,3,0
93,2,1,2,2,1,1,2,1,1,1,1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,1,1,-2,-2,0,-1,0.5,-1
94,1,2,2,1,-1,0,1,1,2,0,0,1,1,1,1,1,1,1,-1,-1,1,0,0,-1,0,0,-1,0.5,-1
95,-2,2,2,1,-2,1,1,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,0,-1,0.5,-1
96,1,1,2,2,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,0,-1,0.5,-1
