,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
640,-10,10,10,10,8,10,-10,-10,-10,10,10,-10,10,0,10,10,16,59.5,-10,62.5,0,10
641,0,8,10,10,-10,10,10,10,10,10,-10,-10,10,0,10,10,10,59.5,-8,62.5,0,5
642,0,10,10,-10,-10,-10,-10,-10,-10,10,-10,-10,-10,0,10,10,16,39.5,-10,82.5,-10,10
643,-10,-8,10,-10,8,8,10,10,10,10,0,10,0,-10,10,0,20,39.5,-10,120,-10,10
644,0,8,10,-10,8,8,10,10,10,10,-10,10,0,0,10,10,13,29.5,-8,82.5,0,10
645,0,10,10,10,8,10,10,10,-10,10,0,10,0,10,10,10,20,39.5,0,0,0,8
646,-10,10,10,10,-10,10,10,10,-10,10,10,10,0,10,10,10,13,49.5,-10,120,-10,10
647,10,8,10,10,8,8,10,10,10,10,-10,10,0,10,10,10,20,29.5,10,45,10,0
648,10,8,10,10,-10,10,10,10,10,10,-10,10,0,-10,10,10,12,49.5,-10,120,0,10
649,0,10,10,10,10,10,10,10,-10,10,-10,10,0,-10,10,-10,13,29.5,10,35,-10,10
650,0,10,10,10,8,10,0,10,0,10,10,10,0,10,10,10,13,39.5,10,25,0,0
651,0,8,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,18,70,10,62.5,0,10
652,0,8,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,70,10,82.5,0,10
653,-10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,14,59.5,10,62.5,10,10
654,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,14,29.5,10,20,0,-8
655,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,14,29.5,0,45,0,10
656,0,10,10,10,8,10,-10,10,10,10,10,10,0,10,10,10,16,29.5,10,25,10,8
657,0,10,10,10,8,8,10,10,10,10,-10,-10,10,0,10,-10,13,59.5,10,120,10,10
658,-10,-10,-10,-10,-10,10,-10,10,-10,-10,-10,-10,-10,0,-10,0,14,70,0,0,-10,10
659,-10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,-10,16,70,10,82.5,0,5
660,0,-10,-10,-10,-10,-10,10,10,10,10,-10,-10,-10,0,0,0,20,0,-8,0,0,10
661,0,-10,10,-10,8,-10,10,10,-10,10,-10,-10,-10,0,-10,0,16,39.5,0,120,-10,10
